nombre,nombre_corto,rol,dialogo
RICARDO ANAYA,Anaya,Candidato,"Prácticamente todos tenemos un amigo cercano, un familiar que padece diabetes en nuestro país, somos uno de los países del mundo con más personas con este padecimiento y por eso yo propongo un programa específico, un programa especial de atención a las personas con diabetes, esto implica médicos y enfermeras bien capacitados; y segundo, todos los medicamentos necesarios por supuesto empezando por la insulina."
CARLOS PUIG,NA,Moderador,"Gracias, candidato Anaya. Si alguien tiene alguna réplica más. Candidato Rodríguez Calderón."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"La mayoría de los centros de salud del país que no están en las zonas metropolitanas son atendidos por pasantes de medicina que les dan 2 mil 500 pesos mensuales, Nuevo León les damos 10 mil, vamos a cuadruplicar ese apoyo a todos ellos y se puede con los recursos de los estados, nosotros lo hacemos con los cursos de Nuevo León no con recursos federales, es cuestión de coordinarse con quienes gobiernan los estados."
CARLOS PUIG,NA,Moderador,"Muchísimas gracias. Tiene usted dos réplicas, Candidato."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Si se termina con la corrupción insisto, y si hay un plan de austeridad republicana va alcanzar el presupuesto, vamos a bajar los sueldos de los de arriba porque vamos a aumentar los sueldos de los de abajo, van a ganar más, los maestros, las enfermeras, los médicos. No vamos a gastar en lujos, vamos a vender toda la flotilla de aviones, de helicópteros del gobierno, a Meade le tocó comprar."
CARLOS PUIG,NA,Moderador,"Muchas gracias, Candidato, se tomó su tiempo, ¿queda alguna réplica? De hecho usted ya no tiene réplicas candidato Rodríguez. "
RICARDO ANAYA,Anaya,Candidato,"Yo tengo una y sí la quiero usar. Bueno, primero contestarle a José Antonio que es falso lo que dijo hace rato, la sentencia es de un juzgado de distrito y el tribunal colegiado de circuito, estas muy mal informado; y lo segundo, mira José Antonio, con todo esto que han invertido en noticias falsas tú y el gobierno en atacarme a la mejor logren convencer a la gente, quizá al final de la película quedan que tú y Peña Nieto son los buenos y yo soy el malo pero que te quede bien claro, si no los logran convencer ellos el Presidente ustedes van enfrentar la justicia porque eso es lo correcto."
CARLOS PUIG,NA,Moderador,"Tiempo, Candidato, sólo les quedarían a réplica al candidato López Obrador."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, mira, este es el verdadero pacto Anaya-Peña."
RICARDO ANAYA,Anaya,Candidato,"Aquí hay fotos tuyas con Peña, mira."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Mira, sí, en el debate."
RICARDO ANAYA,Anaya,Candidato,"Este es López Obrador con Peña, mira."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"En el debate, yo no lo he visto a Peña en seis años, ¿puedo terminar?"
CARLOS PUIG,NA,Moderador,"Candidato Anaya, es tiempo de réplica del candidato López Obrador."
RICARDO ANAYA,Anaya,Candidato,Es que él también se toma fotos con Peña y el pactó con Peña
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,No lo he visto en seis años.
RICARDO ANAYA,Anaya,Candidato,¿Pactaste con él sí o no?
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,No.
CARLOS PUIG,NA,Moderador,"Candidato Anaya, es tiempo de réplica del candidato López Obrador."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"No, no he pactado con él, no lo he visto en seis años y tú te has reunido con él, nada más en un año te reuniste…"
RICARDO ANAYA,Anaya,Candidato,Y le ofreciste impunidad.
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,¿Me dejan?
CARLOS PUIG,NA,Moderador,Tiempo.
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"En un año se reunió seis veces, ahora se peleó, quiero meterlo a la cárcel, ¿sabes qué? Este, yo, no es mi fuerte la venganza, justicia no venganza, ni a ti te voy a meter a la cárcel."
JOSÉ ANTONIO MEADE,Meade,Candidato,Pero él si lavó dinero.
CARLOS PUIG,NA,Moderador,"Por favor se acabaron las réplicas, se acabaron a todos, la palabra la tiene mi compañero Leonardo."
